Date,Price,Open,High,Low,Vol,Change%
15-06-2010,120.9899979,119.7099991,121.0299988,119.4800034,15073000,1.16
16-06-2010,120.3300018,120.6800003,120.8899994,120.0400009,10500500,-0.55
17-06-2010,121.9000015,121.6399994,122.4100037,121.4899979,19792200,1.3
18-06-2010,122.8300018,123.0400009,123.5,122.8099976,19429900,0.76
21-06-2010,120.3899994,123.0899963,123.1100006,120.3600006,20041700,-1.99
22-06-2010,121.4499969,121.1600037,121.5899963,120.8700027,12940900,0.88
23-06-2010,120.9499969,120.8899994,121.0199966,119.7699966,14120400,-0.41
24-06-2010,121.3000031,120.7600021,122.1600037,120.6699982,13137700,0.29
25-06-2010,122.7600021,122.75,123.1299973,122.4899979,9986700,1.2
28-06-2010,121.0899963,122.7900009,123.5599976,120.8099976,19650700,-1.36
29-06-2010,121.2699966,121.0500031,121.8199997,120.0199966,17334700,0.15
30-06-2010,121.6800003,121.0699997,122.0899963,120.8799973,12016300,0.34
01-07-2010,117.0400009,120.9100037,121.0299988,116.9800034,33248900,-3.81
02-07-2010,118.4899979,118.2099991,118.5,117.4100037,14732800,1.24
06-07-2010,116.5100021,117.6699982,117.7200012,116.3000031,16846900,-1.67
07-07-2010,117.7300034,116.5699997,117.7799988,116.5,10930100,1.05
08-07-2010,117.2099991,117.3899994,117.4100037,116.0999985,11315100,-0.44
09-07-2010,118.3600006,118.1399994,118.7300034,118,9596800,0.98
12-07-2010,117.3399963,117.8300018,118.1999969,116.9700012,7506700,-0.86
13-07-2010,118.3600006,118.9800034,119.0999985,118.3600006,8423700,0.87
14-07-2010,118.3000031,118.2600021,119.1299973,117.5899963,9574800,-0.05
15-07-2010,118.2300034,118.5899963,118.6999969,117.7300034,8586900,-0.06
16-07-2010,116.6699982,116.6900024,116.7900009,115.9499969,17494400,-1.32
19-07-2010,115.7300034,115.5699997,115.8000031,115.1100006,15723900,-0.81
20-07-2010,116.6500015,115.75,116.7399979,115.4800034,9263100,0.79
21-07-2010,115.8499985,116.8000031,117,115.7099991,9396200,-0.69
22-07-2010,116.8600006,115.9499969,117.5,115.9100037,8161000,0.87
23-07-2010,116.0899963,117.1200027,117.4700012,115.7900009,8337000,-0.66
26-07-2010,115.5199966,116.3799973,116.4700012,115.3000031,11219000,-0.49
27-07-2010,113.5100021,114.9499969,114.9899979,113.2099991,29524800,-1.74
28-07-2010,113.7799988,113.4800034,113.9300003,113.0800018,16071500,0.24
29-07-2010,114.2900009,113.5400009,114.3499985,113.3399963,9476300,0.45
